Month,DepartmentType,LocationName,Area,NumberOfAttendancesEpisode,NumberMeetingTargetEpisode,AttendanceGreater8hrs,AttendanceGreater12hrs,UnaccountedAttendanceWait,DischargeDestinationAdmissionToSame,DischargeDestinationOtherSpecialty,DischargeDestinationResidence,DischargeDestinationTransfer,DischargeDestinationUnknown,Year,NumberMeetingTargetEpisodePercentage,AttendanceGreater8hrsPercentage,AttendanceGreater12hrsPercentage,UnaccountedAttendanceWaitPercentage,DischargeDestinationAdmissionToSamePercentage,DischargeDestinationOtherSpecialtyPercentage,DischargeDestinationResidencePercentage,DischargeDestinationTransferPercentage,DischargeDestinationUnknownPercentage
07-2007,Emergency Department,University Hospital Crosshouse,NHS Ayrshire and Arran,5414.0,5290.0,26.0,24.0,74.0,1985.0,11.0,3374.0,44.0,0.0,2007,97.71,0.48,0.44,1.37,36.66,0.2,62.32,0.81,0.0
07-2007,Emergency Department,University Hospital Ayr,NHS Ayrshire and Arran,3530.0,3355.0,3.0,1.0,171.0,106.0,0.0,3369.0,8.0,47.0,2007,95.04,0.08,0.03,4.84,3.0,0.0,95.44,0.23,1.33
07-2007,Emergency Department,Borders General Hospital,NHS Borders,1823.0,1804.0,0.0,0.0,19.0,571.0,1.0,1033.0,27.0,191.0,2007,98.96,0.0,0.0,1.04,31.32,0.05,56.66,1.48,10.48
07-2007,Emergency Department,Dumfries & Galloway Royal Infirmary,NHS Dumfries and Galloway,2970.0,2862.0,0.0,0.0,108.0,900.0,5.0,1984.0,19.0,62.0,2007,96.36,0.0,0.0,3.64,30.3,0.17,66.8,0.64,2.09
07-2007,Emergency Department,Victoria Hospital,NHS Fife,3912.0,3703.0,6.0,1.0,202.0,677.0,53.0,3051.0,33.0,98.0,2007,94.66,0.15,0.03,5.16,17.31,1.35,77.99,0.84,2.51
07-2007,Emergency Department,Queen Margaret Hospital,NHS Fife,3638.0,3570.0,2.0,0.0,66.0,762.0,152.0,2655.0,38.0,31.0,2007,98.13,0.05,0.0,1.81,20.95,4.18,72.98,1.04,0.85
07-2007,Minor Injury Unit or Other,Falkirk Community Hospital,NHS Forth Valley,1772.0,1768.0,0.0,0.0,4.0,0.0,0.0,1283.0,199.0,290.0,2007,99.77,0.0,0.0,0.23,0.0,0.0,72.4,11.23,16.37
07-2007,Emergency Department,Stirling Community Hospital,NHS Forth Valley,4195.0,4003.0,5.0,1.0,186.0,1133.0,14.0,2421.0,34.0,593.0,2007,95.42,0.12,0.02,4.43,27.01,0.33,57.71,0.81,14.14
07-2007,Emergency Department,Aberdeen Royal Infirmary,NHS Grampian,5312.0,5168.0,8.0,0.0,136.0,1236.0,29.0,3918.0,97.0,32.0,2007,97.29,0.15,0.0,2.56,23.27,0.55,73.76,1.83,0.6
07-2007,Emergency Department,Royal Aberdeen Children's Hospital,NHS Grampian,1333.0,1324.0,0.0,0.0,9.0,335.0,0.0,997.0,1.0,0.0,2007,99.32,0.0,0.0,0.68,25.13,0.0,74.79,0.08,0.0
07-2007,Emergency Department,Dr Gray's Hospital,NHS Grampian,1925.0,1850.0,1.0,1.0,73.0,465.0,3.0,1409.0,22.0,26.0,2007,96.1,0.05,0.05,3.79,24.16,0.16,73.19,1.14,1.35
07-2007,Minor Injury Unit or Other,Kincardine Community Hospital,NHS Grampian,153.0,153.0,0.0,0.0,0.0,0.0,0.0,130.0,23.0,0.0,2007,100.0,0.0,0.0,0.0,0.0,0.0,84.97,15.03,0.0
07-2007,Minor Injury Unit or Other,Vale of Leven General Hospital,NHS Greater Glasgow and Clyde,1382.0,1354.0,1.0,1.0,26.0,348.0,3.0,963.0,65.0,3.0,2007,97.97,0.07,0.07,1.88,25.18,0.22,69.68,4.7,0.22
07-2007,Emergency Department,Inverclyde Royal Hospital,NHS Greater Glasgow and Clyde,2693.0,2648.0,1.0,0.0,44.0,550.0,6.0,1973.0,34.0,130.0,2007,98.33,0.04,0.0,1.63,20.42,0.22,73.26,1.26,4.83
07-2007,Emergency Department,Royal Alexandra Hospital,NHS Greater Glasgow and Clyde,5479.0,5324.0,4.0,0.0,151.0,1473.0,9.0,3624.0,58.0,315.0,2007,97.17,0.07,0.0,2.76,26.88,0.16,66.14,1.06,5.75
07-2007,Emergency Department,Glasgow Royal Infirmary,NHS Greater Glasgow and Clyde,6200.0,5951.0,6.0,2.0,241.0,1697.0,16.0,4054.0,115.0,318.0,2007,95.98,0.1,0.03,3.89,27.37,0.26,65.39,1.85,5.13
07-2007,Emergency Department,Stobhill Hospital,NHS Greater Glasgow and Clyde,3390.0,3264.0,1.0,0.0,125.0,1014.0,2.0,2203.0,30.0,141.0,2007,96.28,0.03,0.0,3.69,29.91,0.06,64.99,0.88,4.16
07-2007,Emergency Department,New Victoria Hospital,NHS Greater Glasgow and Clyde,5864.0,5744.0,1.0,0.0,119.0,1583.0,14.0,4043.0,137.0,87.0,2007,97.95,0.02,0.0,2.03,27.0,0.24,68.95,2.34,1.48
07-2007,Emergency Department,Queen Elizabeth University Hospital,NHS Greater Glasgow and Clyde,4186.0,3952.0,4.0,0.0,230.0,1094.0,11.0,2927.0,38.0,116.0,2007,94.41,0.1,0.0,5.49,26.13,0.26,69.92,0.91,2.77
07-2007,Emergency Department,Royal Hospital for Children,NHS Greater Glasgow and Clyde,2981.0,2942.0,1.0,0.0,38.0,524.0,3.0,2438.0,5.0,11.0,2007,98.69,0.03,0.0,1.27,17.58,0.1,81.78,0.17,0.37
07-2007,Emergency Department,West Glasgow,NHS Greater Glasgow and Clyde,5040.0,4529.0,40.0,6.0,465.0,1607.0,19.0,2917.0,116.0,381.0,2007,89.86,0.79,0.12,9.23,31.88,0.38,57.88,2.3,7.56
07-2007,Emergency Department,Raigmore Hospital,NHS Highland,2618.0,2553.0,3.0,1.0,61.0,549.0,18.0,2051.0,0.0,0.0,2007,97.52,0.11,0.04,2.33,20.97,0.69,78.34,0.0,0.0
07-2007,Emergency Department,University Hospital Monklands,NHS Lanarkshire,5662.0,5443.0,3.0,0.0,216.0,1537.0,11.0,4050.0,22.0,42.0,2007,96.13,0.05,0.0,3.81,27.15,0.19,71.53,0.39,0.74
07-2007,Emergency Department,University Hospital Hairmyres,NHS Lanarkshire,4545.0,4270.0,87.0,45.0,143.0,1089.0,12.0,3384.0,12.0,48.0,2007,93.95,1.91,0.99,3.15,23.96,0.26,74.46,0.26,1.06
07-2007,Emergency Department,University Hospital Wishaw,NHS Lanarkshire,5555.0,5351.0,44.0,20.0,140.0,1276.0,7.0,4240.0,15.0,17.0,2007,96.33,0.79,0.36,2.52,22.97,0.13,76.33,0.27,0.31
07-2007,Minor Injury Unit or Other,Western General Hospital,NHS Lothian,2761.0,2600.0,4.0,0.0,157.0,914.0,4.0,1840.0,3.0,0.0,2007,94.17,0.14,0.0,5.69,33.1,0.14,66.64,0.11,0.0
07-2007,Emergency Department,St John's Hospital,NHS Lothian,3900.0,3642.0,2.0,0.0,256.0,841.0,4.0,2755.0,75.0,225.0,2007,93.38,0.05,0.0,6.56,21.56,0.1,70.64,1.92,5.77
07-2007,Emergency Department,Royal Infirmary of Edinburgh at Little France,NHS Lothian,8947.0,8468.0,19.0,0.0,460.0,2683.0,15.0,6044.0,205.0,0.0,2007,94.65,0.21,0.0,5.14,29.99,0.17,67.55,2.29,0.0
07-2007,Emergency Department,Royal Hospital for Children and Young People,NHS Lothian,2620.0,2603.0,0.0,0.0,17.0,396.0,1.0,2218.0,5.0,0.0,2007,99.35,0.0,0.0,0.65,15.11,0.04,84.66,0.19,0.0
07-2007,Emergency Department,Gilbert Bain Hospital,NHS Shetland,802.0,791.0,0.0,0.0,11.0,125.0,0.0,651.0,3.0,23.0,2007,98.63,0.0,0.0,1.37,15.59,0.0,81.17,0.37,2.87
07-2007,Emergency Department,Ninewells Hospital,NHS Tayside,3940.0,3927.0,0.0,0.0,13.0,854.0,9.0,3038.0,20.0,19.0,2007,99.67,0.0,0.0,0.33,21.68,0.23,77.11,0.51,0.48
07-2007,Emergency Department,Perth Royal Infirmary,NHS Tayside,2208.0,2192.0,0.0,0.0,16.0,389.0,1.0,1665.0,69.0,84.0,2007,99.28,0.0,0.0,0.72,17.62,0.05,75.41,3.12,3.8
07-2007,Minor Injury Unit or Other,Blairgowrie & Rattray Cottage Hospital,NHS Tayside,167.0,166.0,0.0,0.0,1.0,9.0,0.0,158.0,0.0,0.0,2007,99.4,0.0,0.0,0.6,5.39,0.0,94.61,0.0,0.0
07-2007,Minor Injury Unit or Other,Arbroath Infirmary,NHS Tayside,847.0,846.0,0.0,0.0,1.0,56.0,0.0,791.0,0.0,0.0,2007,99.88,0.0,0.0,0.12,6.61,0.0,93.39,0.0,0.0
07-2007,Minor Injury Unit or Other,Brechin Infirmary,NHS Tayside,228.0,228.0,0.0,0.0,0.0,9.0,0.0,219.0,0.0,0.0,2007,100.0,0.0,0.0,0.0,3.95,0.0,96.05,0.0,0.0
07-2007,Minor Injury Unit or Other,Whitehills Health and Community Care Centre,NHS Tayside,504.0,504.0,0.0,0.0,0.0,12.0,0.0,492.0,0.0,0.0,2007,100.0,0.0,0.0,0.0,2.38,0.0,97.62,0.0,0.0
07-2007,Emergency Department,Western Isles Hospital,NHS Western Isles,776.0,762.0,1.0,0.0,13.0,168.0,0.0,603.0,0.0,5.0,2007,98.2,0.13,0.0,1.68,21.65,0.0,77.71,0.0,0.64
08-2007,Emergency Department,University Hospital Crosshouse,NHS Ayrshire and Arran,5655.0,5508.0,5.0,3.0,139.0,1987.0,9.0,3548.0,33.0,78.0,2007,97.4,0.09,0.05,2.46,35.14,0.16,62.74,0.58,1.38
08-2007,Emergency Department,University Hospital Ayr,NHS Ayrshire and Arran,3558.0,3388.0,1.0,0.0,169.0,1211.0,0.0,2211.0,77.0,59.0,2007,95.22,0.03,0.0,4.75,34.04,0.0,62.14,2.16,1.66
08-2007,Emergency Department,Borders General Hospital,NHS Borders,2005.0,1993.0,0.0,0.0,12.0,600.0,4.0,1197.0,34.0,170.0,2007,99.4,0.0,0.0,0.6,29.93,0.2,59.7,1.7,8.48
08-2007,Emergency Department,Dumfries & Galloway Royal Infirmary,NHS Dumfries and Galloway,3010.0,2903.0,2.0,0.0,105.0,938.0,3.0,2005.0,10.0,54.0,2007,96.45,0.07,0.0,3.49,31.16,0.1,66.61,0.33,1.79
08-2007,Emergency Department,Victoria Hospital,NHS Fife,3877.0,3745.0,8.0,3.0,121.0,572.0,254.0,2935.0,49.0,67.0,2007,96.6,0.21,0.08,3.12,14.75,6.55,75.7,1.26,1.73
08-2007,Emergency Department,Queen Margaret Hospital,NHS Fife,3507.0,3400.0,3.0,0.0,104.0,712.0,55.0,2684.0,31.0,25.0,2007,96.95,0.09,0.0,2.97,20.3,1.57,76.53,0.88,0.71
08-2007,Minor Injury Unit or Other,Falkirk Community Hospital,NHS Forth Valley,1872.0,1870.0,0.0,0.0,2.0,0.0,0.0,1344.0,227.0,301.0,2007,99.89,0.0,0.0,0.11,0.0,0.0,71.79,12.13,16.08
08-2007,Emergency Department,Stirling Community Hospital,NHS Forth Valley,4370.0,4055.0,10.0,0.0,305.0,1096.0,4.0,2572.0,38.0,660.0,2007,92.79,0.23,0.0,6.98,25.08,0.09,58.86,0.87,15.1
08-2007,Emergency Department,Aberdeen Royal Infirmary,NHS Grampian,5421.0,5261.0,5.0,1.0,154.0,1278.0,27.0,3979.0,108.0,29.0,2007,97.05,0.09,0.02,2.84,23.57,0.5,73.4,1.99,0.53
